,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ornskoldsvik,SE,63.2909,18.7153,59.95,63,100,10.36,overcast clouds
80,Bongaree,AU,-27.0797,153.1586,60.4,67,94,8.93,overcast clouds
81,Ilave,PE,-16.0833,-69.6667,55.24,35,42,8.75,scattered clouds
82,Coihaique,CL,-45.5752,-72.0662,42.75,61,75,4.61,broken clouds
83,Gold Coast,AU,-28.0,153.4333,61.0,91,100,5.75,overcast clouds
84,Oksfjord,NO,70.2396,22.3479,54.0,88,100,4.65,overcast clouds
85,Coracora,PE,-15.0333,-73.7833,63.1,29,7,7.47,clear sky
86,Saldanha,ZA,-33.0117,17.9442,57.83,93,0,7.2,clear sky
87,Vilyuysk,RU,63.7553,121.6247,61.43,98,74,4.32,broken clouds
88,Bambous Virieux,MU,-20.3428,57.7575,69.22,65,55,23.26,broken clouds
89,Norman Wells,CA,65.282,-126.8329,65.7,69,93,2.33,overcast clouds
90,Barrow,US,71.2906,-156.7887,35.62,93,100,18.41,overcast clouds
91,Lokomotivnyy,RU,53.0118,60.5684,70.0,64,58,3.13,broken clouds
92,Cabo San Lucas,MX,22.8909,-109.9124,91.62,32,0,9.22,clear sky
93,Raudeberg,NO,61.9875,5.1352,57.87,88,79,21.77,broken clouds
94,Abu Samrah,SY,35.3029,37.1841,89.1,28,0,11.92,clear sky
95,Lumut,MY,4.2323,100.6298,79.66,81,54,2.04,broken clouds
96,Tikhvin,RU,59.6451,33.5294,61.68,63,97,4.23,overcast clouds
97,Sweetwater,US,25.7634,-80.3731,93.99,64,75,14.97,broken clouds
98,Rundu,NA,-17.9333,19.7667,61.66,29,0,6.38,clear sky
99,Indramayu,ID,-6.3264,108.32,79.16,82,100,7.58,overcast clouds
100,Nagato,JP,34.3833,131.2,77.68,79,100,8.23,overcast clouds
101,Ouadda,CF,8.0777,22.4007,69.67,95,100,3.94,light rain
102,Komatipoort,ZA,-25.4332,31.9548,60.04,71,0,5.88,clear sky
103,Wadi Musa,JO,30.3222,35.4793,76.12,39,1,10.25,clear sky
104,Spornoye,RU,50.8448,37.2913,58.51,82,100,6.24,overcast clouds
105,Dunedin,NZ,-45.8742,170.5036,51.58,73,92,11.52,overcast clouds
106,Lata,PT,40.1629,-8.3327,84.22,41,28,9.55,scattered clouds
107,Quito,EC,-0.2299,-78.5249,63.55,48,31,6.78,light rain
108,Port Blair,IN,11.6667,92.75,81.41,84,100,10.09,overcast clouds
109,Mahebourg,MU,-20.4081,57.7,69.26,65,50,23.33,scattered clouds
110,Kodiak,US,57.79,-152.4072,60.31,59,100,5.75,overcast clouds
111,Imeni Zhelyabova,RU,58.9544,36.5956,61.09,68,100,2.82,overcast clouds
112,Nouadhibou,MR,20.931,-17.0347,69.85,85,4,32.19,clear sky
113,Avarua,CK,-21.2078,-159.775,71.65,78,40,5.75,light rain
114,Abu Dhabi,AE,24.4667,54.3667,96.91,67,98,5.75,overcast clouds
115,Namibe,AO,-15.1961,12.1522,66.67,78,5,7.49,clear sky
116,Superior,US,46.7208,-92.1041,85.48,74,0,6.91,clear sky
117,Vilhena,BR,-12.7406,-60.1458,91.87,29,27,4.43,scattered clouds
118,Rocha,UY,-34.4833,-54.3333,52.68,53,1,15.46,clear sky
119,Cherskiy,RU,68.75,161.3,34.25,67,66,11.36,broken clouds
120,Fallon,US,39.4735,-118.7774,93.92,15,0,5.75,clear sky
121,Saint George,US,37.1041,-113.5841,100.63,23,0,8.99,clear sky
122,Sitka,US,57.0531,-135.33,55.29,88,100,9.22,moderate rain
123,Tazovskiy,RU,67.4667,78.7,58.55,64,99,1.5,overcast clouds
124,Kelo,TD,9.3086,15.8066,72.03,94,100,4.27,overcast clouds
125,Esperance,AU,-33.8667,121.9,54.64,78,100,12.44,moderate rain
126,Cape Town,ZA,-33.9258,18.4232,61.12,87,1,8.01,clear sky
127,Matamoros,MX,25.5333,-103.25,84.31,32,20,12.66,few clouds
128,Port Hardy,CA,50.6996,-127.4199,55.58,94,100,6.91,light intensity drizzle
129,Lompoc,US,34.6391,-120.4579,84.02,87,0,8.05,clear sky
130,Goderich,CA,43.7501,-81.7165,74.91,69,100,4.59,overcast clouds
131,Padang,ID,-0.9492,100.3543,73.45,81,86,3.27,overcast clouds
132,Corrales,US,35.2378,-106.6067,94.26,23,0,6.91,clear sky
